IID|path
F040299|Sở thích & Hoạt động/Vật nuôi/Thức ăn & phụ kiện chó mèo/Khác
F049999|Sở thích & Hoạt động/Vật nuôi/Khác/Khác
F050199|Sở thích & Hoạt động/Thể thao/Bóng đá/Khác
F050299|Sở thích & Hoạt động/Thể thao/Maraton - chạy/Khác
F050399|Sở thích & Hoạt động/Thể thao/Quần vợt/Khác
F050499|Sở thích & Hoạt động/Thể thao/Golf/Khác
F050599|Sở thích & Hoạt động/Thể thao/Bắn cung/Khác
F050699|Sở thích & Hoạt động/Thể thao/Bắn súng/Khác
F050799|Sở thích & Hoạt động/Thể thao/Bi-a/Khác
F050899|Sở thích & Hoạt động/Thể thao/Cầu lông/Khác
F050999|Sở thích & Hoạt động/Thể thao/Bơi/Khác
F059999|Sở thích & Hoạt động/Thể thao/Khác/Khác
F069999|Sở thích & Hoạt động/Mạng xã hội/Khác/Khác
F079999|Sở thích & Hoạt động/Du lịch/Khác/Khác
F999999|Sở thích & Hoạt động/Khác/Khác/Khác
G010199|Mua sắm /Sản phẩm Thẩm mỹ - Làm đẹp/Mỹ phẩm/Khác
G010299|Mua sắm /Sản phẩm Thẩm mỹ - Làm đẹp/Nước hoa/Khác
G019999|Mua sắm /Sản phẩm Thẩm mỹ - Làm đẹp/Khác/Khác
G020199|Mua sắm /Quần áo/Thời trang trẻ em/Khác
G020299|Mua sắm /Quần áo/Thời trang nam/Khác
G020399|Mua sắm /Quần áo/Thời trang nữ/Khác
G020499|Mua sắm /Quần áo/Quần áo thể thao/Khác
G029999|Mua sắm /Quần áo/Khác/Khác
G030199|Mua sắm /Phụ kiện trang sức/Ví & túi & balo/Khác
G030299|Mua sắm /Phụ kiện trang sức/Trang sức & Đồng hồ/Khác
G030399|Mua sắm /Phụ kiện trang sức/Giày/Khác
G030499|Mua sắm /Phụ kiện trang sức/Kính mắt/Khác
G039999|Mua sắm /Phụ kiện trang sức/Khác/Khác
G049999|Mua sắm /Nội thất/Khác/Khác
G050199|Mua sắm /Đồ chơi/Đồ chơi trẻ em/Khác
G050299|Mua sắm /Đồ chơi/Đồ chơi tình dục/Khác
G059999|Mua sắm /Đồ chơi/Khác/Khác
G069999|Mua sắm /Thiết bị thể thao/Khác/Khác
G079999|Mua sắm /Nhạc cụ/Khác/Khác
G089999|Mua sắm /Thiết bị văn phòng/Văn phòng phẩm/Khác/Khác
G099999|Mua sắm /Thuốc lá/Khác/Khác
G109999|Mua sắm /Đồ làm vườn/Khác/Khác
G999999|Mua sắm /Khác/Khác/Khác
H010199|Công nghệ/Máy tính/Dịch vụ lưu trữ data dạng đám mây/Khác
H010299|Công nghệ/Máy tính/Phần cứng/Khác
H010399|Công nghệ/Máy tính/Phần mềm/Khác
H019999|Công nghệ/Máy tính/Khác/Khác
H020199|Công nghệ/Đồ điện tử/Thiết bị nghe/Khác
H020299|Công nghệ/Đồ điện tử/Máy ảnh/Khác
H020399|Công nghệ/Đồ điện tử/Thiết bị & đồ điện tử gia dụng/Khác
H029999|Công nghệ/Đồ điện tử/Khác/Khác
H039999|Công nghệ/Điện thoại di động/Khác/Khác
H999999|Công nghệ/Khác/Khác/Khác
I010199|Địa điểm/Giải trí/Rạp chiếu phim/Khác
I010299|Địa điểm/Giải trí/Sở thú/Khác
I010399|Địa điểm/Giải trí/Rạp xiếc/Khác
I010499|Địa điểm/Giải trí/Công viên/Khác
I019999|Địa điểm/Giải trí/Khác/Khác
I020199|Địa điểm/Nghệ thuật/Phòng trưng bày nghệ thuật/Khác
I020299|Địa điểm/Nghệ thuật/Nhà hát/Khác
I029999|Địa điểm/Nghệ thuật/Khác/Khác
I030199|Địa điểm/Địa điểm tôn giáo/Nhà thờ/Khác
I030299|Địa điểm/Địa điểm tôn giáo/Chùa/Khác
I039999|Địa điểm/Địa điểm tôn giáo/Khác/Khác
I049999|Địa điểm/Bảo tàng/Khác/Khác
I050199|Địa điểm/Địa điểm địa lý/Bãi biển/Khác
I050299|Địa điểm/Địa điểm địa lý/Hồ/Khác
I050399|Địa điểm/Địa điểm địa lý/Núi/Khác
I050499|Địa điểm/Địa điểm địa lý/Sa mạc/Khác
I050599|Địa điểm/Địa điểm địa lý/Sông/Khác
I050699|Địa điểm/Địa điểm địa lý/Suối/Khác
I050799|Địa điểm/Địa điểm địa lý/Vịnh/Khác
I050899|Địa điểm/Địa điểm địa lý/Đảo/Khác
I050999|Địa điểm/Địa điểm địa lý/Động/Khác
I059999|Địa điểm/Địa điểm địa lý/Khác/Khác
I069999|Địa điểm/Hiệu sách/Khác/Khác
I079999|Địa điểm/Văn phòng/Khác/Khác
I089999|Địa điểm/Bưu điện/Khác/Khác
I099999|Địa điểm/Chợ/Khác/Khác
I109999|Địa điểm/Cảng/Khác/Khác
I119999|Địa điểm/Bãi đỗ xe/ga-ra/Khác/Khác
I129999|Địa điểm/Trung tâm trung chuyển (trạm xe buýt...)/Khác/Khác
I139999|Địa điểm/Trung tâm hội nghị, tiệc cưới/Khác/Khác
I149999|Địa điểm/Thư viện/Khác/Khác
I999999|Địa điểm/Khác/Khác/Khác
J010199|Tổ chức/Tổ chức nhà nước/Tổ chức phi chính phủ (NGO)/Khác
J010299|Tổ chức/Tổ chức nhà nước/Tổ chức chính trị/Khác
J010399|Tổ chức/Tổ chức nhà nước/Tổ chức chính phủ/Khác
J010499|Tổ chức/Tổ chức nhà nước/Tổ chức phi lợi nhuận/Khác
J019999|Tổ chức/Tổ chức nhà nước/Khác/Khác
J020199|Tổ chức/Tổ chức cộng đồng/Câu lạc bộ xã hội/Khác
J020299|Tổ chức/Tổ chức cộng đồng/Câu lạc bộ thể thao/Khác
J020399|Tổ chức/Tổ chức cộng đồng/Công đoàn/Khác
J020499|Tổ chức/Tổ chức cộng đồng/Lực lượng vũ trang/Khác
J020599|Tổ chức/Tổ chức cộng đồng/Tổ chức bảo vệ môi trường/Khác
J020699|Tổ chức/Tổ chức cộng đồng/Tổ chức thanh niên/Khác
J020799|Tổ chức/Tổ chức cộng đồng/Tổ chức tôn giáo/Khác
J020899|Tổ chức/Tổ chức cộng đồng/Tổ chức từ thiện/Khác
J029999|Tổ chức/Tổ chức cộng đồng/Khác/Khác
J999999|Tổ chức/Khác/Khác/Khác
K019999|Người của công chúng/Luật sư/Khác/Khác
K029999|Người của công chúng/Viên chức chính phủ & chính trị/Khác/Khác
K039999|Người của công chúng/Blogger/Khác/Khác
K049999|Người của công chúng/Diễn viên/Khác/Khác
K059999|Người của công chúng/Game thủ/Khác/Khác
K069999|Người của công chúng/Người mẫu & Hoa hậu/Khác/Khác
K079999|Người của công chúng/Nhà văn/nhà báo/Khác/Khác
K089999|Người của công chúng/Nhà khoa học/Khác/Khác
K099999|Người của công chúng/Nhạc sỹ/Khác/Khác
K109999|Người của công chúng/Vận động viên/Khác/Khác
K119999|Người của công chúng/Ca sỹ/Khác/Khác
K999999|Người của công chúng/Khác/Khác/Khác
L019999|Dịch vụ công & Dịch vụ nhà nước/Công ty cấp thoát nước/Khác/Khác
L029999|Dịch vụ công & Dịch vụ nhà nước/Công ty năng lượng/Khác/Khác
L039999|Dịch vụ công & Dịch vụ nhà nước/Nhà cung cấp dịch vụ internet & truyền hình/Khác/Khác
L049999|Dịch vụ công & Dịch vụ nhà nước/Nhà cung cấp dịch vụ điện/Khác/Khác
L059999|Dịch vụ công & Dịch vụ nhà nước/Nhà cung cấp dịch vụ viễn thông/Khác/Khác
L999999|Dịch vụ công & Dịch vụ nhà nước/Khác/Khác/Khác
